遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,115000001,2026/01/01,31504350,1260174,13496500,15,16,18,29,36
39樂合彩,115000002,2026/01/02,29876225,1195049,14964375,17,18,25,36,39
39樂合彩,115000003,2026/01/03,34180500,1367220,31406625,22,23,31,32,38
39樂合彩,115000004,2026/01/05,36563600,1462544,11049625,10,16,18,34,39
39樂合彩,115000005,2026/01/06,30629650,1225186,24571875,1,2,6,11,33
39樂合彩,115000006,2026/01/07,33626900,1345076,20833750,5,10,14,15,28
39樂合彩,115000007,2026/01/08,32908075,1316323,24827375,3,8,10,21,30
39樂合彩,115000008,2026/01/09,32456700,1298268,15884500,1,12,14,22,34
39樂合彩,115000009,2026/01/10,36319950,1452798,18452625,11,25,26,34,38
39樂合彩,115000010,2026/01/12,36208525,1448341,20908000,3,13,18,24,30
39樂合彩,115000011,2026/01/13,31768975,1270759,22566750,6,16,17,19,31
39樂合彩,115000012,2026/01/14,34842750,1393710,11383750,1,2,16,33,35
39樂合彩,115000013,2026/01/15,33556350,1342254,12062000,1,2,3,19,36
39樂合彩,115000014,2026/01/16,31618850,1264754,17931125,18,19,22,27,29
39樂合彩,115000015,2026/01/17,35254650,1410186,19057125,2,10,11,24,37
39樂合彩,115000016,2026/01/19,34475700,1379028,14603500,12,16,23,24,29
39樂合彩,115000017,2026/01/20,30231250,1209250,10015625,16,19,23,25,34
39樂合彩,115000018,2026/01/21,32154375,1286175,17064250,4,15,23,27,38
39樂合彩,115000019,2026/01/22,30675325,1227013,15172375,3,6,11,30,34
39樂合彩,115000020,2026/01/23,30481275,1219251,14514250,3,11,12,21,31
39樂合彩,115000021,2026/01/24,32988100,1319524,15594000,6,7,15,35,37
39樂合彩,115000022,2026/01/26,33245400,1329816,9889750,6,15,23,26,30
39樂合彩,115000023,2026/01/27,28114950,1124598,19773875,5,17,18,23,32
39樂合彩,115000024,2026/01/28,32635200,1305408,20323125,10,11,23,24,29
39樂合彩,115000025,2026/01/29,32405025,1296201,15192000,6,11,28,36,37
39樂合彩,115000026,2026/01/30,31340125,1253605,9758125,16,17,29,30,36
39樂合彩,115000027,2026/01/31,33406525,1336261,12566125,5,12,16,21,32
