遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3
三星彩,115000001,2026/01/01,2563325,102533,1372700,7,9,7
三星彩,115000002,2026/01/02,2423475,96939,1041750,7,1,0
三星彩,115000003,2026/01/03,2471925,98877,879300,9,0,4
三星彩,115000004,2026/01/05,2703625,108145,1037550,5,4,4
三星彩,115000005,2026/01/06,2431200,97248,1088100,7,8,3
三星彩,115000006,2026/01/07,2440500,97620,2181950,3,2,6
三星彩,115000007,2026/01/08,2444400,97776,1155900,2,4,1
三星彩,115000008,2026/01/09,2521150,100846,1686000,6,6,8
三星彩,115000009,2026/01/10,2682600,107304,1357550,3,9,6
三星彩,115000010,2026/01/12,2794175,111767,1580000,9,8,5
三星彩,115000011,2026/01/13,2533725,101349,1138000,9,0,7
三星彩,115000012,2026/01/14,2562100,102484,1279200,9,3,7
三星彩,115000013,2026/01/15,2533225,101329,1183150,5,9,2
三星彩,115000014,2026/01/16,2544775,101791,1215300,4,5,3
三星彩,115000015,2026/01/17,2598400,103936,963800,8,6,2
三星彩,115000016,2026/01/19,2712325,108493,1164450,5,4,4
三星彩,115000017,2026/01/20,2370925,94837,1170150,3,4,7
三星彩,115000018,2026/01/21,2369700,94788,1014050,4,0,2
三星彩,115000019,2026/01/22,2281750,91270,1980250,1,2,8
三星彩,115000020,2026/01/23,2452325,98093,1035350,1,4,0
三星彩,115000021,2026/01/24,2450175,98007,1256350,5,6,7
三星彩,115000022,2026/01/26,2672775,106911,1869900,9,1,8
三星彩,115000023,2026/01/27,2327025,93081,1445150,4,3,3
三星彩,115000024,2026/01/28,2491725,99669,1438250,0,5,9
三星彩,115000025,2026/01/29,2478775,99151,2406500,5,5,5
三星彩,115000026,2026/01/30,2543525,101741,1218650,9,0,0
三星彩,115000027,2026/01/31,2507150,100286,3597300,6,6,6
