遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
四星彩,115000001,2026/01/01,4466100,178644,1072000,0,8,8,2
四星彩,115000002,2026/01/02,4542300,181692,2244000,8,7,2,1
四星彩,115000003,2026/01/03,4520450,180818,2235000,8,9,0,8
四星彩,115000004,2026/01/05,5018850,200754,1715500,2,5,3,4
四星彩,115000005,2026/01/06,4361850,174474,6106500,0,1,2,2
四星彩,115000006,2026/01/07,4605250,184210,2178500,6,6,3,2
四星彩,115000007,2026/01/08,4502800,180112,2604500,2,6,1,1
四星彩,115000008,2026/01/09,4670375,186815,2309000,4,3,9,3
四星彩,115000009,2026/01/10,4822350,192894,3891500,6,7,6,6
四星彩,115000010,2026/01/12,5083050,203322,2625000,5,7,7,6
四星彩,115000011,2026/01/13,4812550,192502,2792000,7,9,2,0
四星彩,115000012,2026/01/14,4667450,186698,1787500,4,8,5,0
四星彩,115000013,2026/01/15,4558725,182349,1340000,3,3,0,4
四星彩,115000014,2026/01/16,4771325,190853,3651500,5,3,9,3
四星彩,115000015,2026/01/17,4700550,188022,6158000,2,7,3,6
四星彩,115000016,2026/01/19,4964200,198568,932500,4,5,4,0
四星彩,115000017,2026/01/20,4325050,173002,2430500,8,5,0,5
四星彩,115000018,2026/01/21,4393625,175745,3158500,4,5,3,6
四星彩,115000019,2026/01/22,4332625,173305,2924500,2,0,0,8
四星彩,115000020,2026/01/23,4539600,181584,4476500,5,2,2,3
四星彩,115000021,2026/01/24,4575700,183028,935000,4,1,4,8
四星彩,115000022,2026/01/26,4924975,196999,4245000,9,3,2,8
四星彩,115000023,2026/01/27,4305575,172223,887000,9,0,8,4
四星彩,115000024,2026/01/28,4456700,178268,3272500,3,6,3,3
四星彩,115000025,2026/01/29,4573900,182956,1589500,6,7,3,2
四星彩,115000026,2026/01/30,4626800,185072,5881000,1,2,2,4
四星彩,115000027,2026/01/31,4594750,183790,1433500,9,5,1,4
