資料所屬年度,檔案名稱,下載連結,發行屆次,發行機構
96,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2007.zip,第三屆,中國信託商業銀行
97,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2008.zip,第三屆,中國信託商業銀行
98,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2009.zip,第三屆,中國信託商業銀行
99,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2010.zip,第三屆,中國信託商業銀行
100,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2011.zip,第三屆,中國信託商業銀行
101,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2012.zip,第三屆,中國信託商業銀行
102,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2013.zip,第三屆,中國信託商業銀行
103,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2014.zip,第四屆,中國信託商業銀行
104,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2015.zip,第四屆,中國信託商業銀行
105,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2016.zip,第四屆,中國信託商業銀行
106,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2017.zip,第四屆,中國信託商業銀行
107,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2018.zip,第四屆,中國信託商業銀行
108,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2019.zip,第四屆,中國信託商業銀行
109,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2020.zip,第四屆,中國信託商業銀行
110,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2021.zip,第四屆,中國信託商業銀行
111,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2022.zip,第四屆,中國信託商業銀行
112,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2023.zip,第四屆,中國信託商業銀行
113,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult/2024.zip,第五屆,中國信託商業銀行
114,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult2025.zip,第五屆,中國信託商業銀行
115,各期彩券獎號、銷售金額與獎金總額,https://cdn.taiwanlottery.com.tw/app/FilesForDownload/Download/LottoResult2026.zip,第五屆,中國信託商業銀行
